title	source	publication_year	publication_month	publication_day	abstract	authors
Ecology, policy and politics: Human wellbeing and the natural world	Ecological Economics	1995	01	01		Talbot Page
A framework for scaling and framing policy problems in sustainability	Ecological Economics	1995	01	01	It is argued that a necessary, but lacking, component of our approach in seeking policy responses to sustainability issues is some repeatable means whereby the relative magnitude and characteristics of these various policy problems faced in a given context can be analysed and described. To this end, a simple and tentative framework is constructed, based on the definition of the key attributes which shape policy problems pertaining to environmental change. These are: spatial scale of cause and effect; magnitude, timing and longevity of possible impacts; reversibility; mensurability; complexity and connectivity; nature of cause(s); relevance to the given polity; tractability (availability and acceptability of means); public concern; and existence of goals. These attributes inform a general taxonomy of micro-, meso- and macro-problems. The attributes and the taxonomy are described with supporting examples. To illustrate possible application of the framework, it is discussed briefly in the contexts of operationalising the 'precautionary principle', and policy instrument choice. It is concluded that the framework can help focus debate and operationalise vague principles, introduce relativity into the notion of sustainability, and make policy choice more efficient.	Stephen R. Dovers
Decision-making under environmental uncertainty	Ecological Economics	1995	01	01	"The paper's main concern is with different decision-making models for environmental issues and with the hypotheses of rationality underlying such models. The hypothesis supported here is that most environmental problems are in a context of uncertainty, of irreversibility and of complexity. We shall explain why stressing the role of these elements implies a reversal of the traditional attitude towards decision-making. This presupposes a paradigm of economic rationality much broader that that of orthodox economics, called ""procedural rationality"". Our paper is in two parts. The first part concerns the limits of the stochastic environmental approaches based on the Bayesian decision theory and on a substantive rationality hypothesis. The second part concerns the decision-making analyses based upon a procedural rationality, as well as their ability to take account of the interactions between uncertainty, irreversibility and complexity."	Sylvie Faucheux, Géraldine Froger
Metaphors, analogies, and models in communicating climate-change uncertainties and economics to policy: a note on a pre-UNCED U.S. case	Ecological Economics	1995	01	01		Bo L.B. Wiman
Cost-benefit analysis and the environment	Environmentalist	1995	01	01		Wilson S. K. Wasike, Mike Dobson, Ilyas Baker, Kevin B. Briggs
Contents of ecological economics , Vol. 12	Ecological Economics	1995	01	01		
Contents of ecological economics , vol. 14	Ecological Economics	1995	01	01		
Economic growth, carrying capacity, and the environment	Ecological Economics	1995	01	01		Robert Costanza
Balancing ecology with economics as an objective of ecological economics	Ecological Economics	1995	01	01		Frederick B. Lotspeich Ph.D., Ret.
Achieving Sustainability: Reform or Transformation?	Journal of Planning Literature	1995	01	01	"We have reached a unique juncture in human ecological history, one requiring a radical reconfiguration of planning values and goals. The ""ecological footprint"" of the global economy is already larger than the planet, yet a quarter of humanity still lives in poverty, the human family is expanding by 90 million a year, and material demands everywhere are rising. An unlikely tenfold reduction in the energy and material intensity of economic activity would be required to accommodate anticipated economic growth safely, posing an enormous challenge to planners in facilitating the transition to sustainability. Failure enhances the considerable possibility of global disaster."	William E. Rees
Information, order and knowledge in economic and ecological systems: implications for material and energy use	Ecological Economics	1995	01	01	Ecological and economic systems are open systems that require energy to change the thermodynamic states of materials from naturally occurring to more valued forms. These changes are accompanied by information flows and changes in the order of systems and their surroundings. In this paper, thermodynamics is used to assess these system changes and relate them to the knowledge present in a system. Particular emphasis is given to (1) the fundamental relationships among material, energy and information flows, and changes in order and knowledge, (2) the role of equilibrium and non-equilibrium thermodynamics in assessing system change, (3) the increasing role of material and energy flows through economic systems, and (4) the necessity for improved societal valuation of these flows.	Matthias Ruth
Contents of Ecological Economics, vol. 15	Ecological Economics	1995	01	01		
Corporatism as an impediment to ecological sustenance: the case of Finnish waste management	Ecological Economics	1995	01	01	This study set out to improve the capacity of Finnish policy makers to design and implement long-term waste management policies. Since policy makers must frequently act on incomplete information and process the information they receive through mental models that can lead to inefficient or myopic choices, the methodological approach was to analyze the structure, substance, and institutional context of the mental models with which key policy makers in Finnish waste management rationalize their long-term decisions. Individual scenarios were analyzed for inconsistencies that indicate how institutions constrain policy decisions and what institutional changes might enable policy makers to better prepare for the long-term future. To map the cognitive models that underlie waste management policies, interviews were conducted in 1992 with 24 decision makers and experts on Finnish waste management. The main finding is that the exclusion of long-term ecological sustenance is a systemic, built-in characteristic of Finnish corporatism. Corporatist institutions nurture environmental policy makers' short-sighted mental models, which in turn are the rationale for the short-sighted corporatist institutions. The principle unifying the recommendations is the administrative and procedural separation of conflicting environmental policy interests, and the simultaneous empowering of sustainable goals with appropriate institutions.	Janne Hukkinen
The Poverty of Applied Policy Analysis	Journal of Agricultural and Applied Economics	1995	01	01	'We always plan too much and think too little. We resent a call to thinking and hate unfamiliar argument that does not tally with what we already believe or would like to believe.' - Joseph Schumpeter, (1947, pg. xi) My objective today is to put forth a call for each of you to rethink how we do applied policy analysis. I plan to justify the need for this rethinking using a variety of arguments. Some of my arguments will be familiar to most if not all of you, others may be unfamiliar to most if not all. I claim no originality for the basic theoretical arguments, they all appear in the literature. What 1 hope you find to be original and useful is the synthesis of these arguments. Furthermore, though in places 1 will point out the need for additional theoretical work, my primary goal is to convince practicing agricultural policy analysts to become more comprehensive in their analyses. In the grand tradition of presidential addresses, my remarks cover a rather broad range of issues at the expense of depth on any one issue. Nevertheless, I hope that my remarks will stimulate discussion and thought about how we as agricultural economists do applied policy analysis.	William G. Boggess
Input-output economics and ecology	Structural Change and Economic Dynamics	1995	01	01	Without knowing, Professor Leontief, in the late 1960s, stirred my colleagues and I to produce a long list of articles on the energy and labor directly and indirectly needed to produce the multitude of products and services flowing from a modern economy. Our purposes grew out of a need to find a way for consumers to reduce their impact on the environment. In more recent years, the work turned toward the blending of economic and ecological theory and practice.	Bruce Hannon
International pollution control: a review of marketable permits-a comment	Journal of Environmental Management	1995	01	01	"Tomkins and Twomey 1994 offer an outline and discussion of the use of a marketable permit system (MPS) approach to address international pollution problems. Whilst the economic principles underpinning the use of MPSs is not disputed, it is argued that the nature of their associated discussion is misleading. It is suggested that they significantly underplay a variety of problems impacting on the negotiation, costs and practical application of the approach. In addition, the various incidental comparisons with the use of ""command and control"", and fiscal instruments therein, seem to imply general superiority of the MPS approach over these approaches to address international pollution problems. It is argued that this is not likely to be the case."	Alan Collins
Is sustainability optimal? Examining the differences between economists and environmentalists	Ecological Economics	1995	01	01	"This paper examines a number of possible explanations for the apparent differences between economists and environmentalists concerning economic growth and sustainable development. Some of the differences are well known and relate to issues such as resource scarcity, intergenerational equity, and the composition of social capital. However, our analysis finds that while economic notions of optimal growth and the techniques of benefit-cost analysis have important advantages for evaluating complex tradeoffs because they are quantifiable, they may have potentially serious drawbacks as well. The paper focuses on two potential sources of bias in the use of welfare economics for social choice: First, there is a ""conservative reinforcement"" in benefit-cost analysis which is likely to produce biases against policy interventions to protect a degraded environment. Second, and perhaps more importantly, the aggregation of individual willingness to pay as a measure of social benefits is shown to be invalid in the case of ""positional goods"", where the demand for the good reflects the desire of individuals to raise their own relative standing. This error may cause the economic calculus to be biased against non-positional goods, including non-rival goods such as environmental resources. These biases further complicate the already strained assumptions in utilitarian-based welfare economics that, by relying on revealed preference and consumer sovereignty, are unable to distinguish between, or apply different weights to, the satisfaction of different categories of preferences. Furthermore, because the dynamic consequences of even small biases in judging social optimality may give rise to large social costs or advance an unsustainable path, there is a danger in relying solely on a potentially biased measure of welfare as a basis for guiding social choice. The paper concludes by suggesting that efforts to correct these drawbacks of economic analysis are likely to result in approaches to sustainable development that narrow the apparent differences between economists and environmentalists."	William K. Jaeger
AIR QUALITY POLICY IN DEVELOPING COUNTRIES	Contemporary Economic Policy	1995	01	01	Improved air quality can result from complex regulatory programs, comprehensive national policies, and technology-based standards. In the United States, gains have been real but costly in terms of direct expenditures for controls and agency costs. In other cases, where long-term commitment to the objective may be unsure, relying primarily on installation of state-of-the-art technology makes less sense because a flow of funds to maintain and operate the control devices is not guaranteed and the institutional costs may be large. In such circumstances, one cannot carry out the economic analysis necessary to justify pollution reduction on traditional grounds (MB=MC or TB>TC), or the analysis is likely to indicate that the investment is not worthwhile. Conversely, an analysis that leads policymakers to direct capital to newly installed control equipment may be based on the faulty assumption that the equipment will operate effectively. In the absence of a long-term institutional capacity to support use of technology in place, traditional assessment tools may lead to wrong and wasteful conclusions. Commitment to air quality improvements is necessary to justify paying for control equipment or modifying other policies. Commitment and success are complements. Policymakers would be more likely to commit if they had a clearer conception of the role that air quality plays in the economy and that the economy plays in air quality. Policies that economists traditionally do not view as environmental programs can produce large gains. Specifically, changing energy pricing policies will lead directly to cleaner air, at large savings to national governments. Investment in energy efficiency, including transit, will produce better air quality as a by-product. Implementing such straight-forward policies does not require extensive knowledge about pollution levels or sources or significant enforcement expenditures. Many regions eventually will need more direct regulation, either via economic incentives or control requirements, in order to achieve really healthy air. In the interim, worthwhile gains can be had inexpensively while long-term priorities and policies are developed. The analysis here advocates viewing air quality in a new way as a good or a service to be produced. Air quality is one of many basic needs. It increases productivity as well as directly enhancing human welfare through better health and an improved environment.	JANE VISE HALL
Contents of ecological economics , vol. 13	Ecological Economics	1995	01	01		
Daly's optimal scale of economic activity	Ecological Economics	1995	01	01		Thomas Schröder
Announcement	Ecological Economics	1995	01	01		
The North and South and the environment: Ecological constraints and the global economy	Ecological Economics	1996	01	01		John Peet Dr.
Status effects and environmental externalities	Ecological Economics	1996	01	01	This paper examines a static, competitive economy where the production of a consumption good generates pollution that adversely affects human welfare. Preferences are defined over consumption, leisure, pollution, and economic status. Each person's status increases with her own consumption, but decreases with the average consumption of society. The achievement of a Pareto efficient resource allocation requires a consumption tax to offset the incentive to overconsume in the pursuit of enhanced status. In contrast with standard prescriptions, the efficient pollution tax generally exceeds the sum of individuals' marginal willingness to pay for pollution abatement. These findings remain unaltered when preferences are modified to incorporate altruistic concern for others' well-being. Altruism, however, suggests a potential role for government intervention to achieve a desirable (i.e., Pareto efficient) distribution of welfare between individuals.	Richard B. Howarth
Fairness, stewardship and sustainable development	Ecological Economics	1996	01	01	The welfare economic concept of fairness offers an attractive, axiomatic foundation for the popular notion of stewardship. Fairness emphasizes the ex ante equal standing of all persons, across and within generations. This highlights the inextracability of poverty alleviation and environmental sustainability, especially in the agrarian tropics where biodiversity loss, deforestation and desertification are growing global concerns.	Christopher B. Barrett
Environmental and Resource Economics' fifth anniversary	Environmental and Resource Economics	1996	01	01		J. Hans B. Opschoor, H. M. A. Jansen, D. Siniscalco, H. A. M. P. Hoogervorst
The spirit of the soil	Land Use Policy	1996	01	01		Frederick H Buttel
Announcement	Ecological Economics	1996	01	01		
The impact of ecological economics	Ecological Economics	1996	01	01		Robert Costanza
Keyword index, vol. 17	Ecological Economics	1996	01	01		
Charging the earth: The promotion of price-based measures for pollution control	Ecological Economics	1996	01	01	This paper seeks to consider the ways in which the theory and application of economic instruments, in particular price-based instruments, is shaped by the interests, values and ideologies of those who are promoting and implementing them. Although economists have been advocating the use of economic instruments for pollution control for decades, it is only in recent years that they have been embraced by business groups and governments looking for a way to avoid stricter and more costly regulations that might inhibit economic growth, and as a way of correcting, and therefore preserving the free-market system. This paper examines the rationale for price-based instruments and explains how economists have managed to enroll the support of other interest groups, even those that have conflicting interests.	Sharon Beder
Ecological economics	Resources Policy	1996	01	01		Felix Fitzroy, Clevo Wilson
Discursive ethics in ecosystems valuation and environmental policy	Ecological Economics	1996	01	01	"Discursive ethics has its origin in the Frankfurt School of critical theory. As an applied ethic it is also associated with practical philosophy. In this paper discursive ethics is discussed as a conceptual and practical framework for ecosystems valuation and environmental policy. The discussion focuses on three main strengths of discursive ethics: (1) it offers an integrated process for ecosystems valuation; (2) it offers a decision-making framework for responding to uncertainty and risk and the reality of action-in-indeterminacy; (3) it offers a process for deconstructing common valuation concepts and identifying conditions for their critical reconstruction. The theoretical discussion is followed by a case study example which illustrates the usefulness of discursive ethics in identifying valuation biases hidden behind disciplinary assumptions and conceptual norms. These include cultural norms of rationality, information biases which consider ""hard facts"" over ""soft values"", and disciplinary valuation biases which distinguish between ""hard"" and ""soft"" expert contributions. As the case study illustrates, a successful application of discursive ethics in ecosystems valuation and environmental policy demands sensitivity to such underlying biases. Beyond its policy relevance discursive ethics may also offer a framework for an extended peer discourse through which new foci in research and education can be identified."	Sabine U. O'Hara
Editorial	Ecological Economics	1996	01	01		
Sustainable development: looking for new strategies	Ecological Economics	1996	01	01	Many strategies have been proposed to reach sustainable development. A great many of these strategies aim at one type of problem-preventing environmental deterioration-while ignoring the importance of economic or social goals. In addition, while political decisions are at the heart of the choices to be made, most researchers seem to consider sustainable development as a mere technical problem. In this paper we describe a more complete strategy for sustainable development. We use the outlines of this strategy to find out what knowledge and skills are still needed. The strategy is based on the idea that it is necessary to find consensus on the development of a socio-environmental system as a whole, and between all people involved. It leaves us with at least two main areas that need further study: the supply of information and the management of consensus building. A formal procedure for consensus building might be developed based on the literature and on experiences with Environmental Impact Assessments. Special attention is paid to the information needed. It can be summarized as information about: (1) delimiting a socio-environmental system; (2) the needs and wants to be satisfied via that system; and (3) the physical, ecological, economic, social and cultural constraints of satisfying those needs and wants.	H.J. de Graaf, C.J.M. Musters, W.J. ter Keurs
A comparison of stated preference methods for environmental valuation	Ecological Economics	1996	01	01	This paper presents an empirical comparison of contingent valuation (CVM) and choice experiments which are used to value environmental quality changes. Both of these methods require individuals to state their preferences for environmental qualities. However, choice experiments differ from CVM in that environmental attributes are varied in an experimental design which requires respondents to make repeated choices between bundles of attributes. The empirical application involved the effect of environmental quality changes arising from forest management practices on recreational moose hunting values. Significant differences were found between the values derived from the two methods. However, detailed examination of the implied choice behaviour suggested that respondents ignored substitute recreation areas in the CVM question. Restricting the choice experiment model to consider only the one site where quality was varied, resulted in welfare estimates similar to the CVM model. This highlights the importance of substitutes in environmental valuation and suggests that choice experiments may be more appropriate than CVM in some cases.	Peter C. Boxall, Wiktor L. Adamowicz, Joffre Swait, Michael Williams, Jordan Louviere
Cost-benefit analysis in integrated environmental assessment: some methodological issues	Ecological Economics	1996	01	01	A fundamental step in integrated environmental assessment (IEA) is the choice of an assessment framework. The usual attempt to develop integrated assessments of different options is to apply a cost-benefit analysis (CBA), which is an important part of the IEA, but at the same time is one of its weakest points. One should note that this paper does not aim at presenting new advances on specific issues of CBA. The present paper has as a main objective to analyse the role of CBA in the IEA framework, in particular: (1) to make explicit the economical, philosophical and mathematical assumptions on which CBA is based; (2) to discuss the main characteristics and consequences of these assumptions; (3) to test the consistency and compatibility of such an axiomatic system. It is thought that this is useful above all for non-economists involved in IEA studies.	Giuseppe Munda
Environmental economics in poor countries: the current state and a programme for improvement	Environment and Development Economics	1996	01	01	People in poor countries are for the most part agrarian and pastoral. In 1988 rural people accounted for about 65 per cent of the population of what the World Bank classifies as low-income countries. The proportion of the total labour force in agriculture was a bit in excess of this. The share of agriculture in gross domestic product in these countries was 30 per cent. These figures should be contrasted with those from industrial market economies, which are 6 per cent and 2 per cent for the latter two ratios, respectively.	Partha Dasgupta, Karl-Göran Mäler
The environment and the ethics of discounting: An empirical analysis	Ecological Economics	1996	01	01	This paper examines the application of discount rates by individuals and by governments when they make decisions about environmental resource use. The paper is presented in the context of ethics as determined by what is 'good' and also by what is 'right' for society since, in this instance, there appears to be no conflict between the two perspectives. In addition, the paper assesses whether ethical considerations are included in decision-making frameworks at the individual and community levels. Consistency of discount rate applications between individuals and governments is also investigated, since consistency is an element of ethical arguments. Empirical data from a study of soil conservation adoption by Philippines upland farmers are used in the analysis. Individual discount rates are assessed in relation to income and poverty, interest rates paid on debt, purpose of borrowings, land tenure, income inequality and soil conservation adoption. Some of the results appear to be counter-intuitive and reasons for this phenomenon are sought. The overall results have policy implications, and suggestions are made about how an ethical perspective might be developed by governments to help ensure that decision-making criteria are more consistent with the practices of individuals within the communities they serve. It is suggested that this approach would lead to greater intergenerational and intragenerational equity and better environmental quality.	Sarah Lumley
Green new world: A corporate environmental business perspective	Scandinavian Journal of Management	1996	01	01	"Interest in the relationship between business and the environment has grown significantly during the second half of the 1980s. During the 1970s and at the start of the 1980s environmental concern was mainly confined to a narrow group of environmental and political extremists. This is no longer true, however. With leading newspapers, journals, professional associations, etc., devoting more and more attention to this important relationship, the issue of environmental concern now increasingly finds its way into the boardrooms of a growing number of corporations. This paper discusses the concept of sustainable development and attempts to place it in a corporate context, not in the form of the ""ten golden rules of industrial sustainability"" but in an analysis and subsequent discussion of the way mainstream economists have handled the environment to date. Special attention is given to the interdependence between Corporate Strategic Environmental and Resource Management and Total Quality Management, and, in addition, to the importance of the measuring and controlling of environmental and resource management. Due to the fact that there appears to be only very limited industrial ""greening"" experiences in Scandinavia, this article closes with with an outline of the present situation in Denmark where this situation is beginning to change."	J.P. Ulhøi, H. Madsen, S. Hildebrandt
An agenda for the design and study of international environmental agreements	Ecological Economics	1996	01	01	The combination of a general greening of international political debate, and the events of 1992 at the Rio Earth Summit have led to great interest in the question of global environmental protection. While it is recognized that international environmental agreements (IEAs) are the means by which the earth's fragile environment is most likely to be protected, this recognition has been recent. Hence there is very little formal research on the design and study of IEAs. As such, in this paper, I propose and describe a research agenda for the design and study of IEAs. Very generally, I propose that we frame the IEA design question as a problem in mechanism design. We will then be able to use, inter alia, the theory of common agency and the theory of hierarchies to generate interesting new theoretical and practical insights into the workings of IEAs.	Amittrajeet A. Batabyal
Sustainable development principles and their implications for transport	Ecological Economics	1996	01	01	Sustainable mobility' has been adopted as an overall objective for European transport policy, and similar intentions are expressed in other parts of the world. However, little has been done to define what 'sustainable mobility' would actually imply for our understanding and assessment of transport. We suspect that this much used term could merely end up acting as a lubricant to the very development it was meant to challenge: The ever increasing movement of people and goods. In this article we attempt to place transport in the context of sustainable development principles. We emphasise the need to include principles of development (increasing well-being and equity) as well as sustainability (preserving natural and man-made capital). Four such principles are suggested, taking inspiration from Herman Daly and others. We then turn to explore the main features of transport, establishing a comprehensive transport concept. The concept combines a systems perspective with a service perspective. Omitting either one would disable a complete consideration of sustainable development. Our confrontation of the four principles with the reality of current transport trends gives rise to several critical implications. The most important of which relate to the contribution of transport to depleting natural capital and quality of life. Moreover, we are also forced to challenge the value of increasing mobility itself, if other forms of access may provide relevant substitutes. The article thereby outlines some conceptual foundations for a transport policy that could qualify as sustainable.	Henrik Gudmundsson, Mattias Höjer
Discount rates and sustainable development	Ecological Modelling	1996	01	01	This paper explores the relationship between discounting procedures and sustainable development in environmental economics. Sustainability criteria ensure that future generations enjoy a set of life opportunities that is undiminished relative to those of the present. Cost-benefit analysis may be used to detect potential improvements in economic efficiency, which make at least some members of society better off while leaving none worse off, if discount rates are equated with market rates of interest. Cost-benefit analysis and sustainability criteria are premised on value judgements that are complementary, not mutually exclusive, in the general framework of welfare economics. The paper outlines an integrated approach to long-term natural resource and environmental management that exploits the strengths of both sets of criteria.	Richard B Howarth
Trade-related intellectual property rights to biological resources: Socioeconomic implications for developing countries	Ecological Economics	1996	01	01	The Uruguay Round of the General Agreement on Tariffs and Trade proposed conferring trade-related intellectual property rights (TRIPS) to international firms on a variety of life forms and on biotechnology. This proposal has been denounced by developing countries. Many developing countries have relied heavily on indigenous biotechnology from several decades in the area of high-yielding seeds, bio-pesticides and fertilizers, herbal medicines and household consumables. This study analyzes the social, economic, and preservation implications of TRIPS for three types of biological resources: physically nonexhaustible resources, physically exhaustible resources under current use, and physically exhaustible potential future resources. The study concludes that each of these resources may require different degrees of intellectual property right (IPR) protection for their sustained use. Further, establishing IPR to products derived from genetic and biochemical resources is certainly necessary but not sufficient for biodiversity prospecting and the long-term survival of these resources. Along with the IPR protection, developing countries have to develop suitable institutions and policies, governing the use of their open-access biological resources, and enabling local communities to receive partial benefits of biodiversity conservation and prospecting.	Mahadev G. Bhat
The costs of land degradation in Sub-Saharan Africa	Ecological Economics	1996	01	01	"The overriding question that this article addresses is: What are the immediate and future costs of land degradation for a nation? The objectives of the analysis are to find appropriate measures to express the national level costs of land degradation, and suitable methods to estimate such measures. Furthermore, the aim is to document and interpret the results of existing studies. To meet these objectives, a set of 12 studies from Sub-Saharan Africa (SSA) is reviewed, using a consistent, cross-study analytical framework derived from the objectives above. With regard to measures of the cost of land degradation, this article identifies ten different dimensions, which illustrate the importance of qualifying statements about ""the costs of land degradation"" by rigorous clarification of what type of measure has been used. Furthermore, with regard to methods of deriving costs of land degradation, this article illustrates a spectrum of approaches. One sub-group has used a replacement cost approach, while a productivity loss approach has been used in the majority of the studies reviewed. The latter approach is further sub-divided into five different categories ranging from the most informal to the most rigorous. It is evident that very few original estimates exist of soil loss yield decline functions in Sub-Saharan Africa. Hence, some of the basic work in this area is ""recycled"" for use in areas that may exhibit quite different conditions. Finally, with regard to study results, there is considerable variance of cost estimates pertaining even to the same country. These differences can be explained, however, and a rational assessment allows a choice of the most appropriate results. Results across countries are reasonably well clustered in terms of their productivity impact per soil loss unit. With local knowledge of soil conditions, but in the absence of local yield loss data, this provides a useful interval of reasonable assumptions. As one would expect, the national costs of land degradation vary considerably across countries. This sometimes leaves room for considerable investment in soil and water conservation, but should not invoke images of a rapidly approaching doomsday."	Jan Bojö
Non-transboundary pollution and the efficiency of international environmental co-operation	Ecological Economics	1996	01	01	The standard view is that situations where no transborder environmental externalities occur are most efficiently dealt with by national environmental policies rather than by international co-operation. Though this may be the general case, non-coordinated national policies do not always produce the most efficient international allocation. This paper presents four cases in which the allocative outcome of non-coordinated domestic policy choices can be improved upon by international environmental co-operation. The first case refers to the use of environmental policy as a strategic trade instrument. The other cases refer to the existence of discrete technologies, set-up costs and increasing returns to scale. The form of international environmental co-operation should be adapted to the situation. Formal international agreements between countries are characterised by high transaction costs and may not always be the most efficient form of co-operation.	Henk L.M. Kox, Casper M. Van der Tak
The concept of weak sustainability	Ecological Economics	1996	01	01	This paper surveys the links between growth theory with exhaustible resources and the concept of weak sustainability. It examines the underlying assumptions behind this concept, and questions the usefulness of the weak sustainability index as an indicator of sustainable development.	Maite Cabeza Gutés
On sustainability; the environment and management accounting	Management Accounting Research	1996	01	01	Following a review of the content of classic management accounting texts and the accounting research literature, this paper concludes that corporate accounting in general, and management accounting in particular, have ignored a wide range of non-market activities that are associated with private sector organizations and their impact on the biophysical environment. The formal decision analysis invoked in traditional management accounting neglects the social cost and benefits of corporate activities. Integrating environmental concerns into accounting will come in part from focusing on developments in other disciplines, particularly the natural and social sciences, which have a much longer history of analysing environmental problems. In this paper an analysis of the concept of sustainability and its relationships with decision-making is used to illustrate the multidisciplinary issues that are often involved when considering the environment. Such an analysis points towards additional developments for management decision-making and education, for example, social cost-benefit analysis and non-market valuation techniques. At the same time, this analysis also raises the issue of the scale of economic activity in relation to ecosystem capacity, and challenges some conventional wisdom, such as the practice of project analysis. The paper introduces a framework of analytical approaches to environmental resources within which to view existing and future accounting developments.	Markus J. Milne
Multicriteria decision analysis and environmental economics: An approximation	European Journal of Operational Research	1996	01	01	A multicriteria approach to address basic problems in environmental economics is proposed in this paper. The methodology is underpinned by the wellknown multicriteria method called Compromise Programming together with some recent results relating the compromise sets with the traditional optimisation of the utility functions. To illustrate the proposed methodology the following two cases are suggested: (1) The reconciliation between economic, environmental as well as recreational objectives inherent to the management of an environmental asset such as forestry system, and (2) Its application to the appraisal of environmental improvements or damages when nonmonetary objectives are involved.	Carlos Romero
Environmental accounting: useful to whom and for what?	Ecological Economics	1996	01	01	The development of statistics, as with any other tool, can only be understood in relation to their particular uses. This is confirmed by the development of National Income estimates and of the National Accounts. Proposals to integrate environmental costs and benefits into the National Accounts can similarly only be evaluated by considering them in the context of their likely policy use. The most important potential use is as a general measure of welfare or progress, for policy to aim to maximise. Environmentally adjusted National Accounts correspond to a very weak view of sustainability. The use of adjusted National Income as a measure of welfare essentially assumes complete substitutability between manufactured and natural capital. Problems of monetary valuation are likely to lead to huge underestimation of environmental costs. Issues of inequality and poverty, essential to a more robust view of sustainability, are ignored. Policy targeting a revised National Income will continue to aim for ever higher output while making very limited concessions to environmental concerns. Adjusting the National Accounts for environmental costs is not the only way to ensure they are allowed for in policy making. An alternative approach, more appropriate if sustainable development in the stronger sense is to be achieved, is the construction and use of a set of social and environmental indicators.	John Lintott
EDE volume 1 issue 1 Cover and Back matter	Environment and Development Economics	1996	01	01		
	Environment and Development Economics	1996	01	01	William Nordhaus has gone further than any economist to date at building a dynamic integrated model of the world's climate and economic systems, with some one-way linkages to agricultural systems and ecosystems. Managing the Commons is an admirably readable description of this effort which, in his words, 'balances the costs of emissions controls in energy policies and other areas against the impacts to agriculture, coastlines, and ecosystem values'. In addition to a detailed description of the Dynamic Integrated Climate and the Economy (DICE) model and several scenarios produced by the model, the book includes large sections on sensitivity analysis of the model's parameter uncertainty and an analysis of the value of information gained at various times in the future to the decision process.	Robert Costanza
EDE volume 1 issue 3 Cover and Back matter	Environment and Development Economics	1996	01	01		
Book Review : A Survey of Ecological Economics, edited by Rajaram Krishnan, Jonathan M. Harris, and Neva R. Goodwin. Washington, DC, and Covelo, CA: Island Press. 384 pp., with index	The Journal of Environment & Development	1996	01	01		Kevin Young
EDE volume 1 issue 2 Cover and Back matter	Environment and Development Economics	1996	01	01		
Revisiting carrying capacity: Area-based indicators of sustainability	Population and Environment	1996	01	01	"Abstract: Conventional wisdom suggests that because of technology and trade, human carrying capacity is infinitely expandable and therefore virtually irrelevant to demography and development planning. By contrast, this article argues that ecological carrying capacity remains the fundamental basis for demographic accounting. A fundamental question for ecological economics is whether remaining stocks of natural capital are adequate to sustain the anticipated load of the human economy into the next century. Since mainstream (neoclassical) models are blind to ecological structure and function, they cannot even properly address this question. The present article therefore assesses the capital stocks, physical flows, and corresponding ecosystems areas required to support the economy using ""ecological footprint"" analysis. This approach shows that most so-called ""advanced"" countries are running massive unaccounted ecological deficits with the rest of the planet. Since not all countries can be net importers of carrying capacity, the material standards of the wealthy cannot be extended sustainably to even the present world population using prevailing technology. In this light, sustainability may well depend on such measures as greater emphasis on equity in international relationships, significant adjustments to prevailing terms of trade, increasing regional self-reliance, and policies to stimulate a massive increase in the material and energy efficiency of economic activity."	Dr. William E. Rees
Product policy in Europe: new environmental perspectives	The International Journal of Life Cycle Assessment	1996	01	01		Frans H. Oosterhuis, Frieder Rubik, Gerd Scholl
Economics of the environment: Theory and policy	Resources Policy	1996	01	01		Jeffrey K. Lazo
Is the income elasticity of environmental improvements less than one?	Environmental and Resource Economics	1996	01	01	Abstract: We estimated the income elasticity of environmental improvements for a number of European data-sets. The value of this parameter is consistently found to be less than one, with few exceptions. Our findings are compared with state-of-the-art contingent valuation studies from other countries. We also compared our findings with those reported in the literature on charitable donations and corporate donations. These studies show a similar pattern; donations decrease as a percentage of income, as income increases.	Bengt Kristrom, Pere Riera
Environmental life-cycle assessment	The International Journal of Life Cycle Assessment	1996	01	01		MAry Ann Curran
Exhaustible resources and sustainable development	Resources Policy	1996	01	01	Though sustainable development is a relatively recent addition to the public lexicon, concern that resource depletion may threaten the welfare of future generations dates back at least to Thomas Malthus and other classical economists writing nearly two centuries ago. Today the debate over this threat not only continues, but seems more polarized than ever. In one school are the concerned, often ecologists and other scientists and engineers, who contend the earth cannot for long continue to support current and anticipated levels of demand for oil and other exhaustible resources. In the opposing school are the unconcerned, often economists, who claim with equal conviction that the earth with the help of market incentives, appropriate public policies, and new technology can amply provide for society's needs for the indefinite future. That intelligent and informed individuals remain so divided on such an important issue for the future of humanity after years of debate is surprising. The explanation, at least in part, appears to lie with the very different paradigms adopted by the two different groups coupled with quite contrasting views on the beneficence of technology, public policy and the marketplace. The two competing paradigms lead to quite different outlooks on the human condition and in turn on recommendations for public policy.	John E. Tilton
